,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Vietnam,Vietnam,LOC,-0.14855072,0.22946860,de,41.40000000,4063514-4,1562822,A,16.16667000,107.83333000,ASIA,Vietnam,SEA
Mexiko,Mexiko,LOC,-0.07321429,0.30357143,de,28.00000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Indonesien,Indonesien,LOC,-0.02843602,0.28436019,de,21.10000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Sri Lanka,Sri Lanka,LOC,-0.18493151,0.13698630,de,14.60000000,4009696-8,1227603,A,7.75000000,80.75000000,INDIAN,Sri Lanka,BOB
Washington,Washington,LOC,-0.19852941,0.00000000,de,13.60000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Teneriffa,Teneriffa,LOC,0.10593220,0.00000000,de,11.80000000,4277900-5,2511174,P,28.46824000,-16.25462000,AFRICA,Spain,SAH
Thailand,Thailand,LOC,-0.08849558,0.17699115,de,11.30000000,4078228-1,1605651,A,15.50000000,101.00000000,ASIA,Thailand,SEA
Ibiza,Ibiza,LOC,-0.25229358,0.09174312,de,10.90000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Deutschland,Deutschland,LOC,0.38636364,0.00000000,de,9.90000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Sumatra,Sumatra,LOC,0.15217391,0.54347826,de,9.20000000,4058586-4,1626198,T,0.00000000,102.00000000,ASIA,Indonesia,SEA
Außenwelt,Außenwelt,LOC,-0.03888889,0.50000000,de,9.00000000,,0,,,,,,
Italien,Italien,LOC,-0.11494253,0.00000000,de,8.70000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Starkregen,Starkregen,LOC,-0.40000000,0.00000000,de,8.50000000,,0,,,,,,
USA,USA,LOC,-0.22352941,0.05882353,de,8.50000000,4078704-7,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Mallorca,Mallorca,LOC,-0.09259259,0.12345679,de,8.10000000,4115833-7,2512989,P,39.56939000,2.65024000,EUROPE-AFRICA,Spain,MED
Philippinen,Philippinen,LOC,0.08860759,0.00000000,de,7.90000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Landstriche,Landstriche,LOC,0.09589041,0.95890411,de,7.30000000,,0,,,,,,
Kalifornien,Kalifornien,LOC,0.00000000,0.00000000,de,6.80000000,4029307-5,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Südostasien,Südostasien,LOC,-0.04411765,0.00000000,de,6.80000000,4058448-3,7729896,L,6.83917000,116.45508000,ASIA,,SEA
Los Angeles,Los Angeles,LOC,0.00000000,0.00000000,de,6.70000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Notstand,Notstand,LOC,0.00000000,0.00000000,de,6.40000000,,0,,,,,,
Südkalifornien,Südkalifornien,LOC,-0.24561404,0.00000000,de,5.70000000,4096903-4,5404905,S,34.02180000,-118.28664000,NORTH-AMERICA,United States,WNA
Bayern,Bayern,LOC,-0.13207547,0.00000000,de,5.30000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Zentraljava,Zentraljava,LOC,0.28000000,0.00000000,de,5.00000000,,0,,,,,,
Malaysia,Malaysia,LOC,-0.23000000,0.20000000,de,5.00000000,4037203-0,1733045,A,2.50000000,112.50000000,ASIA,Malaysia,SEA
Zentrum,Zentrum,LOC,0.07000000,0.90000000,de,5.00000000,,6291660,P,47.43076000,8.46898000,EUROPE,Switzerland,WCE
Asiens,Asiens,LOC,-0.28000000,0.20000000,de,5.00000000,,0,,,,,,
Deutschlands,Deutschlands,LOC,-1.10204082,0.20408163,de,4.90000000,,0,,,,,,
Sturmböen,Sturmböen,LOC,-0.42857143,0.00000000,de,4.90000000,,0,,,,,,
…,…,LOC,-0.12056738,0.28368794,de,4.70000000,,0,,,,,,
Griechenlands,Griechenlands,LOC,-0.43478261,0.00000000,de,4.60000000,,0,,,,,,
Hamburg,Hamburg,LOC,0.00000000,0.00000000,de,4.10000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Italiens,Italiens,LOC,-0.26315789,0.00000000,de,3.80000000,,6116880,H,46.36199000,-74.81286000,NORTH-AMERICA,Canada,ENA
Nordsee,Nordsee,LOC,-0.17982456,0.39473684,de,3.80000000,4042579-4,2960848,H,55.33333000,3.00000000,EUROPE,,NEU
Formentera,Formentera,LOC,-0.74324324,0.00000000,de,3.70000000,4017869-9,2517690,T,38.69467000,1.46919000,EUROPE-AFRICA,Spain,MED
US-Bundesstaat,US-Bundesstaat,LOC,0.00000000,0.00000000,de,3.70000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Dauerregen,Dauerregen,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
Spanien,Spanien,LOC,-0.19444444,0.00000000,de,3.60000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Saarland,Saarland,LOC,-0.48148148,0.00000000,de,3.60000000,4076919-7,2842635,A,49.40472000,6.96083000,EUROPE,Germany,WCE
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.57407407,0.00000000,de,3.60000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Asien,Asien,LOC,0.00000000,0.55555556,de,3.60000000,4003217-6,6255147,L,29.84064000,89.29688000,ASIA,China,TIB
sintflutartiger,sintflutartiger,LOC,-0.41176471,0.29411765,de,3.40000000,,0,,,,,,
München,München,LOC,0.35294118,0.00000000,de,3.40000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Balearen,Balearen,LOC,0.00000000,0.00000000,de,3.40000000,4115833-7,2512989,P,39.56939000,2.65024000,EUROPE-AFRICA,Spain,MED
Mexikos,Mexikos,LOC,0.21212121,0.90909091,de,3.30000000,,0,,,,,,
Stadt,Stadt,LOC,0.25000000,0.00000000,de,2.80000000,,2661604,P,47.55839000,7.57327000,EUROPE,Switzerland,WCE
Korsika,Korsika,LOC,0.00000000,0.00000000,de,2.80000000,4212951-5,3038334,P,41.91886000,8.73812000,EUROPE-AFRICA,France,MED
Föhr,Föhr,LOC,0.00000000,0.00000000,de,2.80000000,4067126-4,2805396,P,54.69140000,8.56702000,EUROPE,Germany,NEU
Griechenland,Griechenland,LOC,0.25000000,0.00000000,de,2.80000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Freistaat,Freistaat,LOC,-0.50000000,0.00000000,de,2.80000000,4059979-6,2822542,A,50.91667000,11.00000000,EUROPE,Germany,WCE
Oberpfalz,Oberpfalz,LOC,-0.60714286,0.00000000,de,2.80000000,4041837-6,2864549,P,49.28028000,11.46278000,EUROPE,Germany,WCE
Triest,Triest,LOC,0.00000000,0.00000000,de,2.80000000,4078411-3,3165185,P,45.64953000,13.77678000,EUROPE,Italy,WCE
Korfu,Korfu,LOC,0.25000000,0.00000000,de,2.80000000,4192393-5,2463679,P,39.62441000,19.92016000,EUROPE-AFRICA,Greece,MED
Warnungen,Warnungen,LOC,0.00000000,0.00000000,de,2.70000000,,0,,,,,,
Südkaliforniens,Südkaliforniens,LOC,0.77777778,0.00000000,de,2.70000000,,0,,,,,,
Feldberg,Feldberg,LOC,-0.12962963,0.92592593,de,2.70000000,,2927445,T,47.87399000,8.00371000,EUROPE,Germany,WCE
Landes,Landes,LOC,-0.13461538,0.96153846,de,2.60000000,,3007868,L,44.25000000,-1.00000000,EUROPE-AFRICA,France,MED
Hue,Hue,LOC,-0.26923077,0.00000000,de,2.60000000,,1580240,P,16.46190000,107.59546000,ASIA,Vietnam,SEA
Niedersachsen,Niedersachsen,LOC,-0.28000000,0.00000000,de,2.50000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Jamaika,Jamaika,LOC,-1.16666667,0.00000000,de,2.40000000,127193-3,3489940,A,18.16667000,-77.25000000,CENTRAL-AMERICA,Jamaica,CAR
Bayerns Alpen,Bayerns Alpen,LOC,0.00000000,0.00000000,de,2.40000000,,0,,,,,,
Gewitter,Gewitter,LOC,0.00000000,0.00000000,de,2.40000000,,0,,,,,,
Orkanböen,Orkanböen,LOC,-1.12500000,0.00000000,de,2.40000000,,0,,,,,,
Brasiliens,Brasiliens,LOC,-0.29166667,0.00000000,de,2.40000000,,0,,,,,,
Anmarsch,Anmarsch,LOC,0.18478261,0.00000000,de,2.30000000,,0,,,,,,
Umständen,Umständen,LOC,-0.43478261,0.00000000,de,2.30000000,,0,,,,,,
Fango,Fango,LOC,0.00000000,0.00000000,de,2.20000000,,3442625,T,-34.78333000,-53.75000000,SOUTH-AMERICA,Uruguay,SES
Portugal,Portugal,LOC,0.00000000,0.00000000,de,2.20000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Nordseeküste,Nordseeküste,LOC,-0.31818182,0.00000000,de,2.20000000,4075482-0,12076810,L,53.83568000,8.11677000,EUROPE,Germany,NEU
nan,nan,LOC,0.00000000,0.50000000,de,2.00000000,,1608452,P,18.78378000,100.77899000,ASIA,Thailand,SEA
Karibik,Karibik,LOC,-0.35000000,0.00000000,de,2.00000000,4073241-1,7729891,L,20.38583000,-72.33398000,CENTRAL-AMERICA,,CAR
Harz,Harz,LOC,-0.52631579,0.00000000,de,1.90000000,4023568-3,2909965,T,51.75619000,10.63462000,EUROPE,Germany,WCE
Naturkatastrophe,Naturkatastrophe,LOC,0.36842105,0.00000000,de,1.90000000,,0,,,,,,
Safi,Safi,LOC,0.00000000,0.00000000,de,1.90000000,4482785-4,2537881,P,32.29939000,-9.23718000,EUROPE-AFRICA,Morocco,MED
Kanadas,Kanadas,LOC,-0.26315789,0.26315789,de,1.90000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Niederbayern,Niederbayern,LOC,-0.73684211,0.00000000,de,1.90000000,4034367-4,2881485,P,48.52961000,12.16179000,EUROPE,Germany,WCE
Iberische Halbinsel,Iberische Halbinsel,LOC,0.00000000,0.00000000,de,1.90000000,4047912-2,2267430,T,40.00000000,-5.00000000,EUROPE-AFRICA,Spain,MED
Wasserreserven,Wasserreserven,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Wassernotstand,Wassernotstand,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Athen,Athen,LOC,0.00000000,0.00000000,de,1.90000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
Kanarischen Inseln,Kanarischen Inseln,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Tübingen,Tübingen,LOC,0.00000000,0.00000000,de,1.90000000,4061147-4,2820860,P,48.52266000,9.05222000,EUROPE,Germany,WCE
Stuttgart,Stuttgart,LOC,0.00000000,0.00000000,de,1.90000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
Bayerns,Bayerns,LOC,-0.36842105,0.00000000,de,1.90000000,,0,,,,,,
Glatteis,Glatteis,LOC,-0.36842105,0.00000000,de,1.90000000,,0,,,,,,
Illora,Illora,LOC,0.36842105,0.17543860,de,1.90000000,1165672103,2516455,P,37.28771000,-3.88109000,EUROPE-AFRICA,Spain,MED
Brazzano di Cormons,Brazzano di Cormons,LOC,-0.36842105,0.00000000,de,1.90000000,,3181594,P,45.97557000,13.45442000,EUROPE,Italy,WCE
Zyklon,Zyklon,LOC,0.00000000,0.00000000,de,1.80000000,,0,,,,,,
Südostasiens,Südostasiens,LOC,-0.55555556,0.00000000,de,1.80000000,,0,,,,,,
Fährausfälle,Fährausfälle,LOC,0.00000000,0.00000000,de,1.80000000,,0,,,,,,
Zentrum von Vietnam,Zentrum von Vietnam,LOC,0.77777778,0.00000000,de,1.80000000,,0,,,,,,
Dominikanischen Republik,Dominikanischen Republik,LOC,-0.38888889,0.00000000,de,1.80000000,,0,,,,,,
Haiti,Haiti,LOC,-0.38888889,0.00000000,de,1.80000000,4022974-9,3723988,A,19.07582000,-72.29616000,CENTRAL-AMERICA,Haiti,CAR
Zentrum des Landes,Zentrum des Landes,LOC,-0.38888889,0.00000000,de,1.80000000,,0,,,,,,
Nha Trang,Nha Trang,LOC,-0.58333333,0.27777778,de,1.80000000,4669374-9,1572151,P,12.24507000,109.19432000,ASIA,Vietnam,SEA
Verkehrsbehinderungen,Verkehrsbehinderungen,LOC,0.00000000,0.00000000,de,1.80000000,,0,,,,,,
Spaniens,Spaniens,LOC,0.00000000,0.55555556,de,1.80000000,,0,,,,,,
Valencia,Valencia,LOC,0.00000000,0.00000000,de,1.80000000,4062284-8,3625549,P,10.16153000,-68.00044000,SOUTH-AMERICA,Venezuela,NSA
Tarragona,Tarragona,LOC,0.00000000,0.00000000,de,1.80000000,4059081-1,3108288,P,41.11905000,1.24544000,EUROPE-AFRICA,Spain,MED
Katalonien,Katalonien,LOC,0.00000000,0.00000000,de,1.80000000,4029916-8,3125609,L,42.00000000,2.00000000,EUROPE-AFRICA,Spain,MED
Insel-Hauptstadt,Insel-Hauptstadt,LOC,0.00000000,0.00000000,de,1.70000000,,0,,,,,,
lrs,lrs,LOC,-0.19607843,0.00000000,de,1.70000000,,5880061,S,70.13395000,-143.58045000,NORTH-AMERICA,United States,NWN
Elbe,Elbe,LOC,0.00000000,0.00000000,de,1.70000000,4115252-9,2868531,P,51.43453000,13.22177000,EUROPE,Germany,WCE
Brasilien,Brasilien,LOC,0.00000000,0.00000000,de,1.70000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
São Paulo,São Paulo,LOC,0.00000000,0.00000000,de,1.70000000,4051667-2,3448439,P,-23.54750000,-46.63611000,SOUTH-AMERICA,Brazil,SES
Festlands,Festlands,LOC,0.00000000,0.00000000,de,1.70000000,,0,,,,,,
Schlammmassen,Schlammmassen,LOC,0.00000000,0.00000000,de,1.70000000,,0,,,,,,
Wochenanfang,Wochenanfang,LOC,-0.82352941,0.00000000,de,1.70000000,,0,,,,,,
Gondo,Gondo,LOC,0.00000000,0.00000000,de,1.70000000,4714153-0,2457049,T,15.00000000,-2.00000000,AFRICA,Mali,SAH
Gemeinde,Gemeinde,LOC,0.00000000,0.00000000,de,1.70000000,4062244-7,3042030,P,47.14151000,9.52154000,EUROPE,Liechtenstein,WCE
Risiko,Risiko,LOC,0.21875000,0.93750000,de,1.60000000,,0,,,,,,
Albufeira,Albufeira,LOC,0.87500000,0.00000000,de,1.60000000,4126599-3,8010512,A,37.08341000,-8.26139000,EUROPE-AFRICA,Portugal,MED
Böen,Böen,LOC,0.00000000,0.00000000,de,1.60000000,,3160910,P,59.75000000,8.78333000,EUROPE,Norway,NEU
Bremen,Bremen,LOC,-0.43750000,0.00000000,de,1.60000000,4090044-7,2944388,P,53.07582000,8.80717000,EUROPE,Germany,NEU
Schneefallgrenze,Schneefallgrenze,LOC,0.00000000,0.00000000,de,1.60000000,,0,,,,,,
Genua,Genua,LOC,0.43750000,0.00000000,de,1.60000000,4020185-5,3176219,P,44.40478000,8.94439000,EUROPE-AFRICA,Italy,MED
Europa,Europa,LOC,0.00000000,0.00000000,de,1.40000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
Gewittern,Gewittern,LOC,-1.42857143,0.00000000,de,1.40000000,,0,,,,,,
Sturmflut,Sturmflut,LOC,-0.40476190,0.23809524,de,1.40000000,,0,,,,,,
Industrienationen,Industrienationen,LOC,0.00000000,0.71428571,de,1.40000000,,0,,,,,,
Le…,Le…,LOC,0.00000000,0.00000000,de,1.30000000,,0,,,,,,
Portugals,Portugals,LOC,1.07692308,0.00000000,de,1.30000000,,964394,H,-32.35000000,21.01667000,AFRICA,South Africa,WSAF
Stadt München,Stadt München,LOC,0.00000000,0.30303030,de,1.10000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Surfern,Surfern,LOC,0.95454545,0.45454545,de,1.10000000,,0,,,,,,
Erdrutsch,Erdrutsch,LOC,-0.70000000,0.00000000,de,1.00000000,,0,,,,,,
Corm…,Corm…,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Katastrophen-Alarm,Katastrophen-Alarm,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Sturmtief Alice,Sturmtief Alice,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Friaul,Friaul,LOC,0.00000000,0.00000000,de,1.00000000,4018494-8,3165071,A,46.16408000,13.17794000,EUROPE,Italy,WCE
Dak Lak,Dak Lak,LOC,0.00000000,1.00000000,de,1.00000000,4816783-6,1586896,P,12.66747000,108.03775000,ASIA,Vietnam,SEA
Hauseinstürzen,Hauseinstürzen,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Regenwand r…,Regenwand r…,LOC,-0.70000000,0.00000000,de,1.00000000,,0,,,,,,
Alpen,Alpen,LOC,0.00000000,0.00000000,de,1.00000000,4001328-5,682673,T,45.50000000,24.25000000,EUROPE,Romania,WCE
Wetterexperten,Wetterexperten,LOC,-0.70000000,0.00000000,de,1.00000000,,0,,,,,,
Opferb…,Opferb…,LOC,-0.70000000,0.00000000,de,1.00000000,,0,,,,,,
Bangkok,Bangkok,LOC,-1.00000000,0.00000000,de,1.00000000,4004432-4,1609350,P,13.75398000,100.50144000,ASIA,Thailand,SEA
Regen-Front,Regen-Front,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Meteorologen,Meteorologen,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
