,phrase,label,sentiment,subjectivity,language,count
"Link
","Link
",MISC,,,de,61.60000000000003
“,“,MISC,-0.9090909090909091,1.3636363636363635,de,19.800000000000015
Weihnachten,Weihnachten,MISC,,,de,9.100000000000003
spanischen,spanischen,MISC,,,de,7.800000000000001
Deutscher,Deutscher,MISC,,,de,6.8
Wetter“,Wetter“,MISC,,,de,6.299999999999999
indonesischen,indonesischen,MISC,,,de,5.8999999999999995
Sumatra,Sumatra,MISC,-0.06796116504854367,0.29126213592233,de,5.1
deutsche,deutsche,MISC,,,de,4.6
Starkregen sucht den Nordwesten der USA,Starkregen sucht den Nordwesten der USA,MISC,,,de,4.6
"Wind, Regen","Wind, Regen",MISC,,,de,4.1
stern+statt,stern+statt,MISC,,,de,3.9999999999999996
Capital</li><li>4,Capital</li><li>4,MISC,,,de,3.9999999999999996
stern+,stern+,MISC,,,de,3.9999999999999996
deutscher,deutscher,MISC,,,de,3.6999999999999997
Zahl der Toten,Zahl der Toten,MISC,,,de,3.4000000000000004
Todesopfer durch Überschwemmungen und Erdrutsche,Todesopfer durch Überschwemmungen und Erdrutsche,MISC,,,de,3.4000000000000004
spanische,spanische,MISC,,,de,2.9
norditalienischen,norditalienischen,MISC,,,de,2.8
we…,we…,MISC,,,de,2.7
marokkanischen,marokkanischen,MISC,,,de,2.6
Unwettergefahr“,Unwettergefahr“,MISC,,,de,2.3000000000000003
Unwetterwarnung“,Unwetterwarnung“,MISC,,,de,2.3000000000000003
Winterwetter“,Winterwetter“,MISC,,,de,2.1
Deutsche,Deutsche,MISC,,,de,2.0
deutscher Zeit,deutscher Zeit,MISC,,,de,2.0
Sachsen,Sachsen,MISC,-0.2692307692307692,0.0,de,1.9000000000000001
Zeit,Zeit,MISC,,,de,1.9000000000000001
Null-Grad-Grenze,Null-Grad-Grenze,MISC,,,de,1.9000000000000001
NZZ Format,NZZ Format,MISC,,,de,1.9
Deutschen,Deutschen,MISC,,,de,1.9
Risikos von Überflutungen und Erdrutschen,Risikos von Überflutungen und Erdrutschen,MISC,,,de,1.9
andalusische,andalusische,MISC,,,de,1.9
AEMET,AEMET,MISC,,,de,1.9
Winter“,Winter“,MISC,,,de,1.9
tunesische,tunesische,MISC,,,de,1.9
ORANGE,ORANGE,MISC,,,de,1.9
