,phrase,label,sentiment,subjectivity,language,count
Sturmtief Elli,Sturmtief Elli,PER,-0.2545454545454545,0.36363636363636365,de,5.5
Bob Ferguson,Bob Ferguson,PER,-0.5675675675675675,0.0,de,3.6999999999999997
Sturmtief Alice,Sturmtief Alice,PER,0.0,0.3846153846153846,de,2.6
Tag zu Tag,Tag zu Tag,PER,-1.0526315789473684,0.0,de,1.9
Heftiger Sturm,Heftiger Sturm,PER,-0.7777777777777777,0.0,de,1.8
Warnstufe Rot,Warnstufe Rot,PER,0.0,0.0,de,1.8
Prabowo Subianto,Prabowo Subianto,PER,-1.1111111111111112,0.0,de,1.8
Laura Velázquez,Laura Velázquez,PER,-0.7777777777777777,0.0,de,1.8
Sturmtief Joshua,Sturmtief Joshua,PER,0.8472222222222222,0.1388888888888889,de,1.7999999999999998
Joshua ungemütliches,Joshua ungemütliches,PER,-1.0,0.0,de,1.0
Schlager-Ikone Jack White,Schlager-Ikone Jack White,PER,-1.0,0.0,de,1.0
Jair Bolsonaro,Jair Bolsonaro,PER,0.0,0.0,de,1.0
Montag Vorsicht,Montag Vorsicht,PER,0.0,0.0,de,1.0
Stephan Ueberbach,Stephan Ueberbach,PER,0.0,0.0,de,1.0
Ministerpräsidentin Manuela Schwesig,Ministerpräsidentin Manuela Schwesig,PER,0.0,0.0,de,1.0
Greta Wagener,Greta Wagener,PER,0.0,0.0,de,1.0
Wintersturm «Elli,Wintersturm «Elli,PER,-1.0,0.0,de,1.0
Sturmtief „Elli“,Sturmtief „Elli“,PER,0.0,0.0,de,1.0
Eisblöcke von Autobahnbrücke,Eisblöcke von Autobahnbrücke,PER,0.0,0.0,de,1.0
Achim Stauß,Achim Stauß,PER,0.0,0.0,de,1.0
Katharina Fegebank,Katharina Fegebank,PER,0.0,0.0,de,1.0
vollgelaufene Keller leerpumpen,vollgelaufene Keller leerpumpen,PER,-0.85,0.0,de,1.0
Gavin Newsom,Gavin Newsom,PER,0.0,0.0,de,1.0
"Sturmtief ""Joshua","Sturmtief ""Joshua",PER,-1.0,0.0,de,1.0
Jack White,Jack White,PER,-1.0,0.0,de,1.0
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,1.0
Alice“ Mallorca,Alice“ Mallorca,PER,0.0,0.0,de,1.0
Ibiza Starkregen,Ibiza Starkregen,PER,0.0,0.0,de,1.0
Sturmtief „Joshua“,Sturmtief „Joshua“,PER,0.0,0.0,de,1.0
"Supertaifun ""Fung-Wong","Supertaifun ""Fung-Wong",PER,0.0,0.0,de,1.0
Alarmstufe Orange,Alarmstufe Orange,PER,0.0,0.0,de,1.0
Oliver Szerkus,Oliver Szerkus,PER,-1.85,0.0,de,1.0
Valery Tscheplanowa,Valery Tscheplanowa,PER,-1.85,0.0,de,1.0
Katrin Sass,Katrin Sass,PER,-1.85,0.0,de,1.0
Sturmtief „Joshua,Sturmtief „Joshua,PER,1.0,0.0,de,1.0
Carlos Mazon,Carlos Mazon,PER,0.0,0.0,de,1.0
José Pimenta Machado,José Pimenta Machado,PER,-0.7,0.0,de,1.0
