keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Pegelstände Dauerregen',de,Impacts,#a89216,#87830f,1,0.14754035689264586
'Regenmengen',de,Impacts,#9e3215,#d64118,1,0.1052100429848292
'Starkregen',de,Hazard,#4287f5,#638ed4,3,0.0953424459165625
'Hochwasser Regen',de,Impacts,#4287f5,#022f78,1,0.0528157525402869
'Dauerregen',de,Hazard,#3288e5,#638ed4,2,0.0522568018704146
'Überflutung Regen',de,Impacts,#4287f5,#315fa8,1,0.0511584579586518
'Unwetter Regen',de,Hazard,#a89216,#77731f,2,0.0508451639730607
'Hochwasser Starkregen',de,Hazard,#4287f5,#537ee4,1,0.0478506245505788
'Unwetterwarnung',de,Mitigation,#679e2c,#477515,1,0.0466344886226088
'Unwettergefahr',de,Mitigation,#679e2c,#61d01c,1,0.0426290025870793
'Regenmassen',de,Hazard,#9e3215,#e64118,1,0.0424099238855523
'Erdrutsche Regen',de,Impacts,#9e3215,#802d16,2,0.0408816298225416
'Extremwetter Regen',de,Hazard,#a89216,#c4b03b,1,0.036864069505484
'Entsiegelung Regen',de,Mitigation,#679e2c,#61b00c,1,0.0232795849006305
'Hochwasserwarnung Niederschlag',de,Mitigation,#a89216,#a89216,1,0.0227272167982516
'Kanalisation Regen',de,Impacts,#9e3215,#b55035,1,0.0187874625788642
'Regentage',de,Hazard,#6287e5,#638ed4,1,0.0178662179034573
'Regen Dachbegrünung',de,Mitigation,#679e2c,#61d01c,1,0.0104304065241029
'Hangrutschung Niederschlag',de,Impacts,#679e2c,#679e2c,1,0.0099756730592395
'Regenrückhalt',de,Mitigation,#9e3215,#f64118,1,0.0030249445664852
'Starkniederschlag',de,Hazard,#9e3215,#9e3215,1,0.0014775475063869
'Niederschlagstage',de,Hazard,#4277e5,#638ed4,1,0.0011894128125974
